year,cpi_category,avg_mfn_rate,median_mfn_rate,codes_with_tariffs,max_mfn_rate,min_mfn_rate
2023,All Other Services Goods,0.0,0.0,183,0.0,0.0
2023,Apparel,0.0,0.0,1586,0.0,0.0
2023,Commodities Services Special,0.0,0.0,1074,0.0,0.0
2023,Food,0.0,0.0,1950,0.0,0.0
2023,Housing,0.0,0.0,1420,0.0,0.0
2023,Medical,0.0,0.0,256,0.0,0.0
2023,Transportation,0.0,0.0,1936,0.0,0.0
2023,Transportation Services,0.0,0.0,3,0.0,0.0
2024,All Other Services Goods,0.0,0.0,183,0.0,0.0
2024,Apparel,0.0,0.0,1580,0.0,0.0
2024,Commodities Services Special,0.0,0.0,1073,0.0,0.0
2024,Food,0.0,0.0,1911,0.0,0.0
2024,Housing,0.0,0.0,1415,0.0,0.0
2024,Medical,0.0,0.0,257,0.0,0.0
2024,Transportation,0.0,0.0,1936,0.0,0.0
2024,Transportation Services,0.0,0.0,3,0.0,0.0
