series_id,year,period,value,footnote_codes,category,value_lag12,cpi_yoy_change,month
CUSR0000SA0      ,2023,M01,300.456,,All Items,,,1
CUSR0000SA0      ,2023,M02,301.476,,All Items,,,2
CUSR0000SA0      ,2023,M03,301.643,,All Items,,,3
CUSR0000SA0      ,2023,M04,302.858,,All Items,,,4
CUSR0000SA0      ,2023,M05,303.316,,All Items,,,5
CUSR0000SA0      ,2023,M06,304.099,,All Items,,,6
CUSR0000SA0      ,2023,M07,304.615,,All Items,,,7
CUSR0000SA0      ,2023,M08,306.138,,All Items,,,8
CUSR0000SA0      ,2023,M09,307.374,,All Items,,,9
CUSR0000SA0      ,2023,M10,307.653,,All Items,,,10
CUSR0000SA0      ,2023,M11,308.087,,All Items,,,11
CUSR0000SA0      ,2023,M12,308.735,,All Items,,,12
CUSR0000SA0      ,2024,M01,309.794,,All Items,300.456,3.11,1
CUSR0000SA0      ,2024,M02,311.022,,All Items,301.476,3.17,2
CUSR0000SA0      ,2024,M03,312.107,,All Items,301.643,3.47,3
CUSR0000SA0      ,2024,M04,313.016,,All Items,302.858,3.35,4
CUSR0000SA0      ,2024,M05,313.14,,All Items,303.316,3.24,5
CUSR0000SA0      ,2024,M06,313.131,,All Items,304.099,2.97,6
CUSR0000SA0      ,2024,M07,313.566,,All Items,304.615,2.94,7
CUSR0000SA0      ,2024,M08,314.131,,All Items,306.138,2.61,8
CUSR0000SA0      ,2024,M09,314.851,,All Items,307.374,2.43,9
CUSR0000SA0      ,2024,M10,315.564,,All Items,307.653,2.57,10
CUSR0000SA0      ,2024,M11,316.449,,All Items,308.087,2.71,11
CUSR0000SA0      ,2024,M12,317.603,,All Items,308.735,2.87,12
CUSR0000SA0      ,2025,M01,319.086,,All Items,309.794,3.0,1
CUSR0000SA0      ,2025,M02,319.775,,All Items,311.022,2.81,2
CUSR0000SA0      ,2025,M03,319.615,,All Items,312.107,2.41,3
CUSR0000SA0      ,2025,M04,320.321,,All Items,313.016,2.33,4
CUSR0000SA0      ,2025,M05,320.58,,All Items,313.14,2.38,5
CUSR0000SA0      ,2025,M06,321.5,,All Items,313.131,2.67,6
CUSR0000SA0      ,2025,M07,322.132,,All Items,313.566,2.73,7
CUSR0000SA0      ,2025,M08,323.364,,All Items,314.131,2.94,8
CUSR0000SA0      ,2025,M09,324.368,,All Items,314.851,3.02,9
CUSR0000SA0      ,2025,M11,325.031,,All Items,316.449,2.71,11
CUSR0000SA0      ,2025,M12,326.03,,All Items,317.603,2.65,12
CUUR0000AA0      ,2023,M01,896.182,,All Items,,,1
CUUR0000AA0      ,2023,M02,901.182,,All Items,,,2
CUUR0000AA0      ,2023,M03,904.167,,All Items,,,3
CUUR0000AA0      ,2023,M04,908.742,,All Items,,,4
CUUR0000AA0      ,2023,M05,911.031,,All Items,,,5
