series_id,year,period,label,value
CUUR0000SA0,2023,M01,2023 Jan,299.17
CUUR0000SA0,2023,M02,2023 Feb,300.84
CUUR0000SA0,2023,M03,2023 Mar,301.836
CUUR0000SA0,2023,M04,2023 Apr,303.363
CUUR0000SA0,2023,M05,2023 May,304.127
CUUR0000SA0,2023,M06,2023 Jun,305.109
CUUR0000SA0,2023,M07,2023 Jul,305.691
CUUR0000SA0,2023,M08,2023 Aug,307.026
CUUR0000SA0,2023,M09,2023 Sep,307.789
CUUR0000SA0,2023,M10,2023 Oct,307.671
CUUR0000SA0,2023,M11,2023 Nov,307.051
CUUR0000SA0,2023,M12,2023 Dec,306.746
CUUR0000SA0,2024,M01,2024 Jan,308.417
CUUR0000SA0,2024,M02,2024 Feb,310.326
CUUR0000SA0,2024,M03,2024 Mar,312.332
CUUR0000SA0,2024,M04,2024 Apr,313.548
CUUR0000SA0,2024,M05,2024 May,314.069
CUUR0000SA0,2024,M06,2024 Jun,314.175
CUUR0000SA0,2024,M07,2024 Jul,314.54
CUUR0000SA0,2024,M08,2024 Aug,314.796
CUUR0000SA0,2024,M09,2024 Sep,315.301
CUUR0000SA0,2024,M10,2024 Oct,315.664
CUUR0000SA0,2024,M11,2024 Nov,315.493
CUUR0000SA0,2024,M12,2024 Dec,315.605
CUUR0000SA0,2025,M01,2025 Jan,317.671
CUUR0000SA0,2025,M02,2025 Feb,319.082
CUUR0000SA0,2025,M03,2025 Mar,319.799
CUUR0000SA0,2025,M04,2025 Apr,320.795
CUUR0000SA0,2025,M05,2025 May,321.465
CUUR0000SA0,2025,M06,2025 Jun,322.561
CUUR0000SA0,2025,M07,2025 Jul,323.048
CUUR0000SA0,2025,M08,2025 Aug,323.976
CUUR0000SA0,2025,M09,2025 Sep,324.8
CUUR0000SA0,2025,M10,2025 Oct,
CUUR0000SA0,2025,M11,2025 Nov,324.122
CUUR0000SA0,2025,M12,2025 Dec,324.054
