series_id,year,period,value,footnote_codes,category,value_lag12,cpi_yoy_change
CUSR0000SA0      ,2022,M01,282.542,,All Items,,
CUSR0000SA0      ,2022,M02,284.525,,All Items,,
CUSR0000SA0      ,2022,M03,287.467,,All Items,,
CUSR0000SA0      ,2022,M04,288.582,,All Items,,
CUSR0000SA0      ,2022,M05,291.299,,All Items,,
CUSR0000SA0      ,2022,M06,295.072,,All Items,,
CUSR0000SA0      ,2022,M07,294.94,,All Items,,
CUSR0000SA0      ,2022,M08,295.162,,All Items,,
CUSR0000SA0      ,2022,M09,296.421,,All Items,,
CUSR0000SA0      ,2022,M10,297.979,,All Items,,
CUSR0000SA0      ,2022,M11,298.708,,All Items,,
CUSR0000SA0      ,2022,M12,298.808,,All Items,,
CUSR0000SA0      ,2023,M01,300.456,,All Items,282.542,6.34
CUSR0000SA0      ,2023,M02,301.476,,All Items,284.525,5.96
CUSR0000SA0      ,2023,M03,301.643,,All Items,287.467,4.93
CUSR0000SA0      ,2023,M04,302.858,,All Items,288.582,4.95
CUSR0000SA0      ,2023,M05,303.316,,All Items,291.299,4.13
CUSR0000SA0      ,2023,M06,304.099,,All Items,295.072,3.06
CUSR0000SA0      ,2023,M07,304.615,,All Items,294.94,3.28
CUSR0000SA0      ,2023,M08,306.138,,All Items,295.162,3.72
CUSR0000SA0      ,2023,M09,307.374,,All Items,296.421,3.7
CUSR0000SA0      ,2023,M10,307.653,,All Items,297.979,3.25
CUSR0000SA0      ,2023,M11,308.087,,All Items,298.708,3.14
CUSR0000SA0      ,2023,M12,308.735,,All Items,298.808,3.32
CUSR0000SA0      ,2024,M01,309.794,,All Items,300.456,3.11
CUSR0000SA0      ,2024,M02,311.022,,All Items,301.476,3.17
CUSR0000SA0      ,2024,M03,312.107,,All Items,301.643,3.47
CUSR0000SA0      ,2024,M04,313.016,,All Items,302.858,3.35
CUSR0000SA0      ,2024,M05,313.14,,All Items,303.316,3.24
CUSR0000SA0      ,2024,M06,313.131,,All Items,304.099,2.97
CUSR0000SA0      ,2024,M07,313.566,,All Items,304.615,2.94
CUSR0000SA0      ,2024,M08,314.131,,All Items,306.138,2.61
CUSR0000SA0      ,2024,M09,314.851,,All Items,307.374,2.43
CUSR0000SA0      ,2024,M10,315.564,,All Items,307.653,2.57
CUSR0000SA0      ,2024,M11,316.449,,All Items,308.087,2.71
CUSR0000SA0      ,2024,M12,317.603,,All Items,308.735,2.87
CUSR0000SA0      ,2025,M01,319.086,,All Items,309.794,3.0
CUSR0000SA0      ,2025,M02,319.775,,All Items,311.022,2.81
CUSR0000SA0      ,2025,M03,319.615,,All Items,312.107,2.41
CUSR0000SA0      ,2025,M04,320.321,,All Items,313.016,2.33
CUSR0000SA0      ,2025,M05,320.58,,All Items,313.14,2.38
CUSR0000SA0      ,2025,M06,321.5,,All Items,313.131,2.67
CUSR0000SA0      ,2025,M07,322.132,,All Items,313.566,2.73
CUSR0000SA0      ,2025,M08,323.364,,All Items,314.131,2.94
CUSR0000SA0      ,2025,M09,324.368,,All Items,314.851,3.02
CUSR0000SA0      ,2025,M10,,X,All Items,315.564,
CUSR0000SA0      ,2025,M11,325.031,,All Items,316.449,2.71
CUSR0000SA0      ,2025,M12,326.03,,All Items,317.603,2.65
CUUR0000AA0      ,2022,M01,842.196,,All Items,,
CUUR0000AA0      ,2022,M02,849.887,,All Items,,
CUUR0000AA0      ,2022,M03,861.235,,All Items,,
CUUR0000AA0      ,2022,M04,866.042,,All Items,,
CUUR0000AA0      ,2022,M05,875.589,,All Items,,
CUUR0000AA0      ,2022,M06,887.615,,All Items,,
CUUR0000AA0      ,2022,M07,887.511,,All Items,,
CUUR0000AA0      ,2022,M08,887.197,,All Items,,
CUUR0000AA0      ,2022,M09,889.104,,All Items,,
CUUR0000AA0      ,2022,M10,892.711,,All Items,,
CUUR0000AA0      ,2022,M11,891.809,,All Items,,
CUUR0000AA0      ,2022,M12,889.073,,All Items,,
CUUR0000AA0      ,2022,M13,876.664,,All Items,842.196,4.09
CUUR0000AA0      ,2023,M01,896.182,,All Items,849.887,5.45
CUUR0000AA0      ,2023,M02,901.182,,All Items,861.235,4.64
CUUR0000AA0      ,2023,M03,904.167,,All Items,866.042,4.4
CUUR0000AA0      ,2023,M04,908.742,,All Items,875.589,3.79
CUUR0000AA0      ,2023,M05,911.031,,All Items,887.615,2.64
CUUR0000AA0      ,2023,M06,913.97,,All Items,887.511,2.98
CUUR0000AA0      ,2023,M07,915.714,,All Items,887.197,3.21
CUUR0000AA0      ,2023,M08,919.713,,All Items,889.104,3.44
CUUR0000AA0      ,2023,M09,921.999,,All Items,892.711,3.28
CUUR0000AA0      ,2023,M10,921.645,,All Items,891.809,3.35
CUUR0000AA0      ,2023,M11,919.789,,All Items,889.073,3.45
CUUR0000AA0      ,2023,M12,918.875,,All Items,876.664,4.81
CUUR0000AA0      ,2023,M13,912.751,,All Items,896.182,1.85
CUUR0000AA0      ,2024,M01,923.881,,All Items,901.182,2.52
CUUR0000AA0      ,2024,M02,929.598,,All Items,904.167,2.81
CUUR0000AA0      ,2024,M03,935.609,,All Items,908.742,2.96
CUUR0000AA0      ,2024,M04,939.251,,All Items,911.031,3.1
CUUR0000AA0      ,2024,M05,940.811,,All Items,913.97,2.94
CUUR0000AA0      ,2024,M06,941.129,,All Items,915.714,2.78
CUUR0000AA0      ,2024,M07,942.221,,All Items,919.713,2.45
CUUR0000AA0      ,2024,M08,942.988,,All Items,921.999,2.28
CUUR0000AA0      ,2024,M09,944.502,,All Items,921.645,2.48
CUUR0000AA0      ,2024,M10,945.589,,All Items,919.789,2.8
CUUR0000AA0      ,2024,M11,945.076,,All Items,918.875,2.85
CUUR0000AA0      ,2024,M12,945.413,,All Items,912.751,3.58
CUUR0000AA0      ,2024,M13,939.672,,All Items,923.881,1.71
CUUR0000AA0      ,2025,M01,951.601,,All Items,929.598,2.37
CUUR0000AA0      ,2025,M02,955.829,,All Items,935.609,2.16
CUUR0000AA0      ,2025,M03,957.974,,All Items,939.251,1.99
CUUR0000AA0      ,2025,M04,960.958,,All Items,940.811,2.14
CUUR0000AA0      ,2025,M05,962.965,,All Items,941.129,2.32
CUUR0000AA0      ,2025,M06,966.248,,All Items,942.221,2.55
CUUR0000AA0      ,2025,M07,967.707,,All Items,942.988,2.62
CUUR0000AA0      ,2025,M08,970.489,,All Items,944.502,2.75
CUUR0000AA0      ,2025,M09,972.957,,All Items,945.589,2.89
CUUR0000AA0      ,2025,M10,,X,All Items,945.076,
CUUR0000AA0      ,2025,M11,970.924,,All Items,945.413,2.7
CUUR0000AA0      ,2025,M12,970.722,,All Items,939.672,3.3
CUUR0000AA0      ,2025,M13,964.398,,All Items,951.601,1.34
CUUR0000SA0      ,2022,M01,281.148,,All Items,,
CUUR0000SA0      ,2022,M02,283.716,,All Items,,
CUUR0000SA0      ,2022,M03,287.504,,All Items,,
CUUR0000SA0      ,2022,M04,289.109,,All Items,,
CUUR0000SA0      ,2022,M05,292.296,,All Items,,
CUUR0000SA0      ,2022,M06,296.311,,All Items,,
CUUR0000SA0      ,2022,M07,296.276,,All Items,,
CUUR0000SA0      ,2022,M08,296.171,,All Items,,
CUUR0000SA0      ,2022,M09,296.808,,All Items,,
CUUR0000SA0      ,2022,M10,298.012,,All Items,,
CUUR0000SA0      ,2022,M11,297.711,,All Items,,
CUUR0000SA0      ,2022,M12,296.797,,All Items,,
CUUR0000SA0      ,2022,M13,292.655,,All Items,281.148,4.09
CUUR0000SA0      ,2023,M01,299.17,,All Items,283.716,5.45
CUUR0000SA0      ,2023,M02,300.84,,All Items,287.504,4.64
CUUR0000SA0      ,2023,M03,301.836,,All Items,289.109,4.4
CUUR0000SA0      ,2023,M04,303.363,,All Items,292.296,3.79
CUUR0000SA0      ,2023,M05,304.127,,All Items,296.311,2.64
CUUR0000SA0      ,2023,M06,305.109,,All Items,296.276,2.98
CUUR0000SA0      ,2023,M07,305.691,,All Items,296.171,3.21
CUUR0000SA0      ,2023,M08,307.026,,All Items,296.808,3.44
CUUR0000SA0      ,2023,M09,307.789,,All Items,298.012,3.28
CUUR0000SA0      ,2023,M10,307.671,,All Items,297.711,3.35
CUUR0000SA0      ,2023,M11,307.051,,All Items,296.797,3.45
CUUR0000SA0      ,2023,M12,306.746,,All Items,292.655,4.81
CUUR0000SA0      ,2023,M13,304.702,,All Items,299.17,1.85
CUUR0000SA0      ,2024,M01,308.417,,All Items,300.84,2.52
CUUR0000SA0      ,2024,M02,310.326,,All Items,301.836,2.81
CUUR0000SA0      ,2024,M03,312.332,,All Items,303.363,2.96
CUUR0000SA0      ,2024,M04,313.548,,All Items,304.127,3.1
CUUR0000SA0      ,2024,M05,314.069,,All Items,305.109,2.94
CUUR0000SA0      ,2024,M06,314.175,,All Items,305.691,2.78
CUUR0000SA0      ,2024,M07,314.54,,All Items,307.026,2.45
CUUR0000SA0      ,2024,M08,314.796,,All Items,307.789,2.28
CUUR0000SA0      ,2024,M09,315.301,,All Items,307.671,2.48
CUUR0000SA0      ,2024,M10,315.664,,All Items,307.051,2.81
CUUR0000SA0      ,2024,M11,315.493,,All Items,306.746,2.85
CUUR0000SA0      ,2024,M12,315.605,,All Items,304.702,3.58
CUUR0000SA0      ,2024,M13,313.689,,All Items,308.417,1.71
CUUR0000SA0      ,2025,M01,317.671,,All Items,310.326,2.37
CUUR0000SA0      ,2025,M02,319.082,,All Items,312.332,2.16
CUUR0000SA0      ,2025,M03,319.799,,All Items,313.548,1.99
CUUR0000SA0      ,2025,M04,320.795,,All Items,314.069,2.14
CUUR0000SA0      ,2025,M05,321.465,,All Items,314.175,2.32
CUUR0000SA0      ,2025,M06,322.561,,All Items,314.54,2.55
CUUR0000SA0      ,2025,M07,323.048,,All Items,314.796,2.62
CUUR0000SA0      ,2025,M08,323.976,,All Items,315.301,2.75
CUUR0000SA0      ,2025,M09,324.8,,All Items,315.664,2.89
CUUR0000SA0      ,2025,M10,,X,All Items,315.493,
CUUR0000SA0      ,2025,M11,324.122,,All Items,315.605,2.7
CUUR0000SA0      ,2025,M12,324.054,,All Items,313.689,3.3
CUUR0000SA0      ,2025,M13,321.943,,All Items,317.671,1.34
CUUR0100AA0      ,2022,M01,460.825,,All Items,,
CUUR0100AA0      ,2022,M02,463.912,,All Items,,
CUUR0100AA0      ,2022,M03,469.894,,All Items,,
CUUR0100AA0      ,2022,M04,472.92,,All Items,,
CUUR0100AA0      ,2022,M05,477.036,,All Items,,
CUUR0100AA0      ,2022,M06,482.57,,All Items,,
CUUR0100AA0      ,2022,M07,481.724,,All Items,,
CUUR0100AA0      ,2022,M08,483.203,,All Items,,
CUUR0100AA0      ,2022,M09,483.671,,All Items,,
CUUR0100AA0      ,2022,M10,485.007,,All Items,,
CUUR0100AA0      ,2022,M11,485.626,,All Items,,
CUUR0100AA0      ,2022,M12,485.242,,All Items,,
CUUR0100AA0      ,2022,M13,477.636,,All Items,460.825,3.65
CUUR0100AA0      ,2023,M01,488.664,,All Items,463.912,5.34
CUUR0100AA0      ,2023,M02,491.282,,All Items,469.894,4.55
CUUR0100AA0      ,2023,M03,490.113,,All Items,472.92,3.64
CUUR0100AA0      ,2023,M04,491.065,,All Items,477.036,2.94
CUUR0100AA0      ,2023,M05,491.685,,All Items,482.57,1.89
CUUR0100AA0      ,2023,M06,493.397,,All Items,481.724,2.42
CUUR0100AA0      ,2023,M07,494.379,,All Items,483.203,2.31
CUUR0100AA0      ,2023,M08,496.723,,All Items,483.671,2.7
CUUR0100AA0      ,2023,M09,498.191,,All Items,485.007,2.72
CUUR0100AA0      ,2023,M10,498.076,,All Items,485.626,2.56
CUUR0100AA0      ,2023,M11,498.0,,All Items,485.242,2.63
CUUR0100AA0      ,2023,M12,497.828,,All Items,477.636,4.23
CUUR0100AA0      ,2023,M13,494.117,,All Items,488.664,1.12
CUUR0100AA0      ,2024,M01,500.963,,All Items,491.282,1.97
CUUR0100AA0      ,2024,M02,503.237,,All Items,490.113,2.68
CUUR0100AA0      ,2024,M03,506.645,,All Items,491.065,3.17
CUUR0100AA0      ,2024,M04,508.682,,All Items,491.685,3.46
CUUR0100AA0      ,2024,M05,510.892,,All Items,493.397,3.55
CUUR0100AA0      ,2024,M06,512.202,,All Items,494.379,3.61
CUUR0100AA0      ,2024,M07,512.309,,All Items,496.723,3.14
CUUR0100AA0      ,2024,M08,513.571,,All Items,498.191,3.09
CUUR0100AA0      ,2024,M09,515.171,,All Items,498.076,3.43
CUUR0100AA0      ,2024,M10,515.588,,All Items,498.0,3.53
CUUR0100AA0      ,2024,M11,515.361,,All Items,497.828,3.52
CUUR0100AA0      ,2024,M12,515.303,,All Items,494.117,4.29
CUUR0100AA0      ,2024,M13,510.827,,All Items,500.963,1.97
CUUR0100AA0      ,2025,M01,519.632,,All Items,503.237,3.26
CUUR0100AA0      ,2025,M02,522.812,,All Items,506.645,3.19
CUUR0100AA0      ,2025,M03,522.876,,All Items,508.682,2.79
CUUR0100AA0      ,2025,M04,524.475,,All Items,510.892,2.66
CUUR0100AA0      ,2025,M05,525.209,,All Items,512.202,2.54
CUUR0100AA0      ,2025,M06,527.645,,All Items,512.309,2.99
CUUR0100AA0      ,2025,M07,528.556,,All Items,513.571,2.92
CUUR0100AA0      ,2025,M08,530.571,,All Items,515.171,2.99
CUUR0100AA0      ,2025,M09,531.178,,All Items,515.588,3.02
CUUR0100AA0      ,2025,M10,,X,All Items,515.361,
CUUR0100AA0      ,2025,M11,531.12,,All Items,515.303,3.07
CUUR0100AA0      ,2025,M12,532.058,,All Items,510.827,4.16
CUUR0100AA0      ,2025,M13,526.921,,All Items,519.632,1.4
CUUR0100SA0      ,2022,M01,292.644,,All Items,,
CUUR0100SA0      ,2022,M02,294.605,,All Items,,
CUUR0100SA0      ,2022,M03,298.403,,All Items,,
CUUR0100SA0      ,2022,M04,300.325,,All Items,,
CUUR0100SA0      ,2022,M05,302.939,,All Items,,
CUUR0100SA0      ,2022,M06,306.453,,All Items,,
CUUR0100SA0      ,2022,M07,305.916,,All Items,,
CUUR0100SA0      ,2022,M08,306.855,,All Items,,
CUUR0100SA0      ,2022,M09,307.152,,All Items,,
CUUR0100SA0      ,2022,M10,308.001,,All Items,,
CUUR0100SA0      ,2022,M11,308.394,,All Items,,
CUUR0100SA0      ,2022,M12,308.15,,All Items,,
CUUR0100SA0      ,2022,M13,303.32,,All Items,292.644,3.65
CUUR0100SA0      ,2023,M01,310.323,,All Items,294.605,5.34
CUUR0100SA0      ,2023,M02,311.986,,All Items,298.403,4.55
CUUR0100SA0      ,2023,M03,311.243,,All Items,300.325,3.64
CUUR0100SA0      ,2023,M04,311.848,,All Items,302.939,2.94
CUUR0100SA0      ,2023,M05,312.241,,All Items,306.453,1.89
CUUR0100SA0      ,2023,M06,313.329,,All Items,305.916,2.42
CUUR0100SA0      ,2023,M07,313.952,,All Items,306.855,2.31
CUUR0100SA0      ,2023,M08,315.441,,All Items,307.152,2.7
CUUR0100SA0      ,2023,M09,316.373,,All Items,308.001,2.72
CUUR0100SA0      ,2023,M10,316.3,,All Items,308.394,2.56
CUUR0100SA0      ,2023,M11,316.252,,All Items,308.15,2.63
CUUR0100SA0      ,2023,M12,316.143,,All Items,303.32,4.23
CUUR0100SA0      ,2023,M13,313.786,,All Items,310.323,1.12
CUUR0100SA0      ,2024,M01,318.133,,All Items,311.986,1.97
CUUR0100SA0      ,2024,M02,319.577,,All Items,311.243,2.68
CUUR0100SA0      ,2024,M03,321.741,,All Items,311.848,3.17
CUUR0100SA0      ,2024,M04,323.035,,All Items,312.241,3.46
CUUR0100SA0      ,2024,M05,324.439,,All Items,313.329,3.55
CUUR0100SA0      ,2024,M06,325.271,,All Items,313.952,3.61
CUUR0100SA0      ,2024,M07,325.339,,All Items,315.441,3.14
CUUR0100SA0      ,2024,M08,326.14,,All Items,316.373,3.09
CUUR0100SA0      ,2024,M09,327.156,,All Items,316.3,3.43
CUUR0100SA0      ,2024,M10,327.421,,All Items,316.252,3.53
CUUR0100SA0      ,2024,M11,327.277,,All Items,316.143,3.52
CUUR0100SA0      ,2024,M12,327.24,,All Items,313.786,4.29
CUUR0100SA0      ,2024,M13,324.397,,All Items,318.133,1.97
CUUR0100SA0      ,2025,M01,329.989,,All Items,319.577,3.26
CUUR0100SA0      ,2025,M02,332.009,,All Items,321.741,3.19
CUUR0100SA0      ,2025,M03,332.049,,All Items,323.035,2.79
CUUR0100SA0      ,2025,M04,333.065,,All Items,324.439,2.66
CUUR0100SA0      ,2025,M05,333.531,,All Items,325.271,2.54
CUUR0100SA0      ,2025,M06,335.078,,All Items,325.339,2.99
CUUR0100SA0      ,2025,M07,335.656,,All Items,326.14,2.92
CUUR0100SA0      ,2025,M08,336.936,,All Items,327.156,2.99
CUUR0100SA0      ,2025,M09,337.321,,All Items,327.421,3.02
CUUR0100SA0      ,2025,M10,,X,All Items,327.277,
CUUR0100SA0      ,2025,M11,337.284,,All Items,327.24,3.07
CUUR0100SA0      ,2025,M12,337.88,,All Items,324.397,4.16
CUUR0100SA0      ,2025,M13,334.618,,All Items,329.989,1.4
CUUR0110SA0      ,2022,M01,112.623,,All Items,,
CUUR0110SA0      ,2022,M02,113.324,,All Items,,
CUUR0110SA0      ,2022,M03,114.952,,All Items,,
CUUR0110SA0      ,2022,M04,115.115,,All Items,,
CUUR0110SA0      ,2022,M05,116.416,,All Items,,
CUUR0110SA0      ,2022,M06,117.342,,All Items,,
CUUR0110SA0      ,2022,M07,116.96,,All Items,,
CUUR0110SA0      ,2022,M08,117.169,,All Items,,
CUUR0110SA0      ,2022,M09,117.29,,All Items,,
CUUR0110SA0      ,2022,M10,117.924,,All Items,,
CUUR0110SA0      ,2022,M11,118.37,,All Items,,
CUUR0110SA0      ,2022,M12,117.821,,All Items,,
CUUR0110SA0      ,2022,M13,116.276,,All Items,112.623,3.24
CUUR0110SA0      ,2023,M01,118.841,,All Items,113.324,4.87
CUUR0110SA0      ,2023,M02,119.083,,All Items,114.952,3.59
CUUR0110SA0      ,2023,M03,119.099,,All Items,115.115,3.46
CUUR0110SA0      ,2023,M04,119.459,,All Items,116.416,2.61
CUUR0110SA0      ,2023,M05,119.166,,All Items,117.342,1.55
CUUR0110SA0      ,2023,M06,119.462,,All Items,116.96,2.14
CUUR0110SA0      ,2023,M07,119.39,,All Items,117.169,1.9
CUUR0110SA0      ,2023,M08,119.875,,All Items,117.29,2.2
CUUR0110SA0      ,2023,M09,120.174,,All Items,117.924,1.91
CUUR0110SA0      ,2023,M10,120.315,,All Items,118.37,1.64
CUUR0110SA0      ,2023,M11,120.745,,All Items,117.821,2.48
CUUR0110SA0      ,2023,M12,120.579,,All Items,116.276,3.7
CUUR0110SA0      ,2023,M13,119.682,,All Items,118.841,0.71
CUUR0110SA0      ,2024,M01,121.182,,All Items,119.083,1.76
CUUR0110SA0      ,2024,M02,121.624,,All Items,119.099,2.12
CUUR0110SA0      ,2024,M03,122.807,,All Items,119.459,2.8
CUUR0110SA0      ,2024,M04,123.233,,All Items,119.166,3.41
CUUR0110SA0      ,2024,M05,123.653,,All Items,119.462,3.51
CUUR0110SA0      ,2024,M06,124.02,,All Items,119.39,3.88
CUUR0110SA0      ,2024,M07,123.61,,All Items,119.875,3.12
CUUR0110SA0      ,2024,M08,123.877,,All Items,120.174,3.08
CUUR0110SA0      ,2024,M09,124.289,,All Items,120.315,3.3
CUUR0110SA0      ,2024,M10,124.313,,All Items,120.745,2.95
CUUR0110SA0      ,2024,M11,124.443,,All Items,120.579,3.2
CUUR0110SA0      ,2024,M12,124.559,,All Items,119.682,4.07
CUUR0110SA0      ,2024,M13,123.468,,All Items,121.182,1.89
CUUR0110SA0      ,2025,M01,126.08,,All Items,121.624,3.66
CUUR0110SA0      ,2025,M02,127.074,,All Items,122.807,3.47
CUUR0110SA0      ,2025,M03,126.696,,All Items,123.233,2.81
CUUR0110SA0      ,2025,M04,126.9,,All Items,123.653,2.63
CUUR0110SA0      ,2025,M05,127.147,,All Items,124.02,2.52
CUUR0110SA0      ,2025,M06,127.414,,All Items,123.61,3.08
