category,year,month,mean_value,mean_cpi_yoy,series_count,year_month,mean_value_lag1,mean_value_lag12,mean_cpi_yoy_lag1,mean_cpi_yoy_roll3,mean_cpi_yoy_roll6,avg_mfn_rate,median_mfn_rate,codes_with_tariffs,avg_mfn_rate_missing,avg_mfn_rate_lag1,mean_value_missing,mean_cpi_yoy_missing,mean_value_is_missing,series_count_is_missing,mean_value_lag1_is_missing,mean_cpi_yoy_lag1_is_missing,mean_cpi_yoy_roll3_is_missing,mean_cpi_yoy_roll6_is_missing,avg_mfn_rate_is_missing,median_mfn_rate_is_missing,codes_with_tariffs_is_missing,avg_mfn_rate_lag1_is_missing
All Items,2023,1,433.4588805970149,5.407073170731708,134,2023-01-01,406.7874838709678,411.3584626865672,2.2528612490201203,2.3010632183908046,2.444925650557621,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,1,1,1,1,1,1,1
All Items,2023,2,438.5999424460432,4.522926829268292,139,2023-02-01,433.4588805970149,419.3362877697842,5.407073170731708,5.407073170731708,5.407073170731708,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2023,3,436.9576641791045,4.218536585365854,134,2023-03-01,438.5999424460432,418.55755970149255,4.522926829268292,4.965,4.965,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2023,4,415.8825161290322,3.618048780487805,62,2023-04-01,436.9576641791045,396.2367419354839,4.218536585365854,4.716178861788618,4.716178861788618,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2023,5,414.244543859649,2.522439024390244,57,2023-05-01,415.8825161290322,398.9750877192982,3.618048780487805,4.119837398373984,4.441646341463414,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2023,6,418.6019516129032,2.8790243902439023,62,2023-06-01,414.244543859649,406.6465967741936,2.522439024390244,3.453008130081301,4.05780487804878,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2023,7,416.1736140350877,3.07390243902439,57,2023-07-01,418.6019516129032,403.6945789473684,2.8790243902439023,3.0065040650406503,3.861341463414634,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2023,8,421.3564032258065,3.277073170731708,62,2023-08-01,416.1736140350877,406.0704838709677,3.07390243902439,2.825121951219512,3.472479674796748,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2023,9,419.63680701754384,3.169024390243903,57,2023-09-01,421.3564032258065,405.0737894736842,3.277073170731708,3.0766666666666667,3.264837398373984,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2023,10,421.8098387096774,3.284878048780488,62,2023-10-01,419.63680701754384,408.628435483871,3.169024390243903,3.1733333333333333,3.089918699186992,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2023,11,419.1511052631579,5.086140350877193,57,2023-11-01,421.8098387096774,405.4144035087719,3.284878048780488,3.243658536585366,3.0343902439024397,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2023,12,420.6759516129033,6.042258064516129,62,2023-12-01,419.1511052631579,406.7874838709678,5.086140350877193,3.8466809299671945,3.4616737983169306,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2024,1,447.8865671641791,3.499649122807017,134,2024-01-01,420.6759516129033,433.4588805970149,6.042258064516129,4.804425488057937,3.988879410695635,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2024,2,451.704309352518,3.4638709677419355,139,2024-02-01,447.8865671641791,438.5999424460432,3.499649122807017,4.87601584606678,4.059837191326073,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2024,3,451.3117985074627,3.768947368421053,134,2024-03-01,451.704309352518,436.9576641791045,3.4638709677419355,4.335259385021694,4.090970157494444,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2024,4,430.5574677419355,4.2343548387096765,62,2024-04-01,451.3117985074627,415.8825161290322,3.768947368421053,3.5774891529900024,4.19095732052397,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2024,5,428.761701754386,3.889298245614035,57,2024-05-01,430.5574677419355,414.244543859649,4.2343548387096765,3.822391058290888,4.349203452178834,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2024,6,431.930935483871,3.9493548387096777,62,2024-06-01,428.761701754386,418.6019516129032,3.889298245614035,3.964200150914922,4.149729767968307,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2024,7,429.9138421052632,3.676140350877193,57,2024-07-01,431.930935483871,416.1736140350877,3.9493548387096777,4.024335974344464,3.800912563667232,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2024,8,433.1405322580645,3.914193548387097,62,2024-08-01,429.9138421052632,421.3564032258065,3.676140350877193,3.8382644784003017,3.830327768345595,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2024,9,431.1298596491228,4.231228070175439,57,2024-09-01,433.1405322580645,419.63680701754384,3.914193548387097,3.846562912657989,3.905381531786456,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2024,10,433.6317741935485,4.800967741935485,62,2024-10-01,431.1298596491228,421.8098387096774,4.231228070175439,3.94052065647991,3.982428315412187,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
All Items,2024,11,430.9908947368421,3.7194736842105263,57,2024-11-01,433.6317741935485,419.1511052631579,4.800967741935485,4.315463120166007,4.076863799283155,0.0,0.0,1417.5,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1
