hs_code,cpi_category
10011100,Food
10011900,Food
10019100,Food
10019900,Food
10021000,Other
10029000,Other
10031000,Other
10039020,Commodities Services Special
10039040,Commodities Services Special
10041000,Other
10049000,Other
10051000,Food
10059020,Food
10059040,Food
10061000,Food
10062020,Food
10062040,Food
10063010,Food
10063090,Food
10064000,Food
10071000,Food
10079000,Food
10081000,Food
10082100,Other
10082900,Other
10083000,Other
10084000,Other
10085000,Other
10086000,Other
10089001,Food
1012100,Other
1012900,Other
1013000,Other
1019030,Other
1019040,Other
1022100,Other
1022920,Food
1022940,Food
1023100,Other
1023900,Other
1029000,Other
1031000,Other
1039100,Other
1039200,Other
1041000,Other
1042000,Other
1051100,Other
1051200,Other
1051300,Other
1051400,Other
1051500,Other
1059400,Food
1059900,Other
1061100,Other
1061201,Other
1061300,Other
1061400,Other
1061930,Other
1061991,Other
1062000,Housing
1063100,Other
1063200,Other
1063300,Other
1063901,Food
1064100,Other
1064900,Other
1069001,Housing
11010000,Food
11022000,Food
11029020,Food
11029025,Food
11029027,Other
11029030,Food
11029060,Food
11031100,Food
11031300,Food
11031912,Other
11031914,Food
11031990,Food
11032000,Food
11041200,Food
11041910,Food
11041990,Food
11042200,Food
11042300,Food
11042910,Food
11042990,Food
11043000,Food
11051000,Other
11052000,Other
11061000,Food
11062010,Other
11062090,Other
11063020,Other
11063040,Food
11071000,Other
11072000,Other
11081100,Food
11081200,Food
11081300,Other
11081400,Other
11081900,Food
11082000,Other
11090010,Food
11090090,Food
12011000,Other
12019000,Other
12023005,Other
12023040,Other
12023080,Other
12024105,Other
12024140,Other
12024180,Other
12024210,Other
12024215,Other
12024220,Other
12024250,Other
12024260,Other
12024290,Other
12030000,Other
12040000,Other
12051000,Other
12059000,Other
12060000,Other
12071000,Other
12072100,Apparel
12072900,Apparel
12073000,Transportation
12074000,Other
12075000,Other
12076000,Transportation
12077000,Other
12079100,Other
12079903,Food
12081000,Other
12089000,Food
12091000,Food
12092100,Other
12092220,Other
12092240,Other
12092300,Other
