Feature,Importance
mean_cpi_yoy_lag1,0.6415757291932034
mean_cpi_yoy_roll6,0.11566087455941312
mean_cpi_yoy_roll3,0.06553850070750905
codes_with_tariffs,0.054735303696801005
mean_value_lag12,0.04681897134500328
mean_value_lag1,0.043154397599133684
mean_cpi_yoy_roll6_is_missing,0.015121925460344694
mean_cpi_yoy_roll3_is_missing,0.012219790729600938
avg_mfn_rate_lag1_is_missing,0.002043399339909241
avg_mfn_rate_is_missing,0.0009599411051514784
mean_cpi_yoy_lag1_is_missing,0.0007308814269833104
codes_with_tariffs_is_missing,0.000716743205955164
median_mfn_rate_is_missing,0.0007019090076721544
mean_value_lag1_is_missing,2.1632623319436717e-05
series_count_is_missing,0.0
avg_mfn_rate,0.0
mean_value_is_missing,0.0
avg_mfn_rate_lag1,0.0
median_mfn_rate,0.0
